,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Overall loss (%),Difference from HDI rank,Coefficient of human inequality nan,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income shares held by (%) Poorest 40 percent,Richest 10 percent, Richest 1 percent,Gini coefficient,Level of human development,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,kg meat/person,cal,has_uhc
67,Bulgaria,0.795,0.701,11.82389937106919,2.0,11.371760909666667,5.180382729,0.7556102362158859,5.93179,0.7210094863623878,23.00311,0.6328918861618229,16.7,31.4,18.27,40.3,High,71.798,13.89729023,11.41318035,23078.95595,-8.0,64.0,58.32,2854.0,1.0
108,South Africa,0.713,0.471,33.94109396914446,-22.0,31.051126910000004,18.86325073,0.5285247847447799,17.29413,0.6269909621734716,56.996,0.315936582092031,7.2,50.5,21.93,63.0,High,62.341,13.64371014,11.37316036,12948.37325,-17.0,102.0,60.03,2899.0,1.0
19,South Korea,0.925,0.838,9.405405405405409,-3.0,9.264535208,2.827563286,0.9522569906647737,8.836042338,0.7986280824028388,16.13,0.7725703785806569,20.5,24.0,14.71,31.4,Very high,83.6978,16.52173996,12.51293027,44500.93187,9.0,20.0,70.71,3420.0,1.0
86,Brazil,0.754,0.576,23.607427055702924,-20.0,22.315800908666663,9.988456726,0.73048383266474,15.65257,0.5940316960387523,41.306376,0.4404384704293369,13.2,39.4,25.69,48.9,High,72.7504,15.59906006,8.128813955,14369.88848,-5.0,86.0,77.32,3301.0,1.0
113,Indonesia,0.705,0.585,17.021276595744684,4.0,16.867443086666665,13.23504257,0.6349900083742045,17.25001669,0.5520505573043833,20.11727,0.572202257697522,18.1,29.6,18.28,37.3,High,67.5703,13.74889386,8.556509972,11466.06836,-11.0,116.0,11.7,2884.0,1.0
72,Sri Lanka,0.782,0.676,13.554987212276215,-2.0,13.186386977333335,5.198720932,0.822570279736006,11.99693,0.6632660589870495,22.36351,0.5669690156766476,17.9,32.6,20.64,39.3,High,76.3991,14.13990486,10.82730007,12578.22055,21.0,75.0,9.04,2737.0,1.0
66,Albania,0.796,0.71,10.80402010050252,5.0,10.767684877333332,6.790634632,0.8096681712349594,12.33344,0.6816500216484526,13.17898,0.6493096372304081,21.0,23.8,8.91,30.8,High,76.4626,14.44799995,11.28645502,14131.11039,17.0,68.0,47.51,3360.0,1.0
90,Algeria,0.745,0.598,19.731543624161073,-7.0,19.07287475,12.43080425,0.7595172735444653,33.28262,0.4505283322550255,11.5052,0.625893552809942,23.1,22.9,9.91,27.6,High,76.3767,14.62689602,8.069284397,10800.22546,13.0,96.0,18.06,3322.0,1.0
46,Argentina,0.842,0.72,14.48931116389549,-6.0,13.837300834999999,7.624845505,0.787177010763477,5.78729,0.8178603634147832,28.099767,0.5803590693151355,14.3,30.3,21.7,42.3,Very high,75.3899,17.8748703,11.14726927,20925.26814,17.0,47.0,109.39,3307.0,1.0
17,United Kingdom,0.929,0.85,8.503767491926805,1.0,8.243507930666667,3.913083792,0.8979277971830119,2.84785,0.9012768105149771,17.96959,0.7576242336654596,18.6,26.7,12.65,35.1,Very high,80.7422,17.30971909,13.4061203,45224.76564,9.0,17.0,79.9,3344.0,1.0
